bug_id,summary,component,reporter,status,patch_date,patch_count,bugzilla_url
18039,Wishlist: allow Sys.setenv() to accept named vector,Wishlist,kevinushey,UNCONFIRMED,2021-01-27 05:50:20 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=18039
18407,Underscore-separated numeric literals,Wishlist,ikrylov,UNCONFIRMED,2022-09-20 21:39:39 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=18407
18622,gram.y: skip non-breakable spaces,Wishlist,ikrylov,UNCONFIRMED,2023-11-06 19:50:33 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=18622
18700,Error passing improvements in 'parallel',Wishlist,ikrylov,UNCONFIRMED,2024-04-09 10:02:10 +0000,2,https://bugs.r-project.org/show_bug.cgi?id=18700
18803,Allow for loops to accept language objects as sequence variables,Wishlist,kevinushey,CONFIRMED,2024-10-02 03:51:15 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=18803
18883,Wish: resize the input width in Rterm.exe,Wishlist,ikrylov,UNCONFIRMED,2025-04-15 15:22:17 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=18883
18995,tre-parse.c has a variety of out-of-bounds reads,Wishlist,kevinushey,UNCONFIRMED,2026-01-26 17:32:18 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=18995
19004,Package version: keep formatting,Wishlist,lluis.revilla,UNCONFIRMED,2026-02-14 11:56:06 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=19004
19028,Should object.size() be ALTREP aware?,Wishlist,kevinushey,NEW,2026-03-24 19:00:53 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=19028
19030,Enable constant folding of paste / paste0?,Wishlist,kevinushey,NEW,2026-03-26 22:51:02 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=19030
19042,Provide getDLLVersion on all platforms?,Wishlist,kevinushey,NEW,2026-04-02 18:41:54 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=19042
19105,Provide a traceback when crashing on Windows,Wishlist,ikrylov,NEW,2026-07-19 20:25:09 +0000,1,https://bugs.r-project.org/show_bug.cgi?id=19105
